str,en_US,ja_JP,zh_CN,ko,zh_TW,es,th,pt,de,fr
例えば、現在の討伐の証がレベル18の場合、その状態で瘴気濃度20のボスを倒すと、討伐の証がレベル19に上がります。もう一度瘴気濃度20のボスを倒すと、討伐の証がレベル20に上がります。,"For example, if the current Proof of Subjugation is level 18, defeating a boss with Miasma 20 will raise it to level 19. Defeating the same boss again will raise it to level 20.",例えば、現在の討伐の証がレベル18の場合、その状態で瘴気濃度20のボスを倒すと、討伐の証がレベル19に上がります。もう一度瘴気濃度20のボスを倒すと、討伐の証がレベル20に上がります。,例如，当前的讨伐之证的等级是18，击败瘴气浓度20的BOSS后，讨伐之证升到19级。再次击败瘴气浓度20的BOSS后，讨伐之证升到20级。,"예를 들어 현재 토벌의 증표가 레벨 18이라면, 사기 농도 20의 보스를 처치하면 레벨 19로 오릅니다. 같은 보스를 한 번 더 처치하면 레벨 20으로 오릅니다。",例如，目前的討伐之證的等級是18，擊敗瘴氣濃度20的BOSS後，討伐之證會升到19級。再次擊敗瘴氣濃度20的BOSS後，討伐之證會升到20級。,"Por ejemplo, si la Prueba de Subyugación está en nivel 18, derrotar a un jefe con Niebla tóxica 20 la subirá a nivel 19. Al derrotarlo nuevamente, subirá a nivel 20.",ตัวอย่างเช่น หากหลักฐานการปราบปรามอยู่ที่เลเวล 18 การเอาชนะบอสที่มีความเข้มข้นของหมอกพิษ 20 จะทำให้มันขึ้นไปเลเวล 19 เอาชนะบอสเดิมอีกครั้งจะทำให้มันขึ้นไปเลเวล 20.,"Por exemplo, se a Prova de Subjugação está no nível 18, derrotar um chefe com Névoa Tóxica 20 irá elevá-la para o nível 19. Derrotar o mesmo chefe novamente irá elevá-la para o nível 20.","Wenn der aktuelle Beweis der Unterwerfung Level 18 hat, erhöht sich dieser auf Level 19, wenn du einen Boss mit Miasma 20 besiegst. Besiegst du denselben Boss erneut, steigt er auf Level 20.","Par exemple, si la Preuve de subjugation actuelle est au niveau 18, battre un boss avec Miasme 20 la fera passer au niveau 19. Battre le même boss encore une fois la fera passer au niveau 20."
機種変更した後に課金状態を復元させたい,I want to restore my purchase status after changing devices,機種変更した後に課金状態を復元させたい,更换设备后想恢复购买状态,기기 변경 후 결제 상태를 복원하고 싶습니다,更換設備後想恢復購買狀態,Quiero restaurar mi estado de compra después de cambiar de dispositivo,ฉันต้องการกู้คืนสถานะการซื้อหลังจากเปลี่ยนอุปกรณ์,Quero restaurar meu status de compra após trocar de dispositivo,Ich möchte meinen Kaufstatus nach einem Gerätewechsel wiederherstellen,Je veux restaurer mon statut d'achat après avoir changé d'appareil
機種変更した後は、課金ページを開き左下の「購入を復元」ボタンを押してください。購入履歴が確認され、課金状態が復元されます。,"After changing devices, open the purchase page and press the Restore button at the bottom left. Your purchase history will be verified and your purchase status will be restored.",機種変更した後は、課金ページを開き左下の「購入を復元」ボタンを押してください。購入履歴が確認され、課金状態が復元されます。,更换设备后，请打开付费页面并点击左下角的“恢复购买”按钮。购买记录验证过后即可恢复购买状态。,기기 변경 후 결제 페이지를 열고 왼쪽 하단의 복원 버튼을 눌러주세요. 구매 내역이 확인되며 결제 상태가 복원됩니다。,更換裝置後，請開啟付費頁面並點擊左下角的「恢復購買」按鈕。購買記錄驗證過後即可恢復購買狀態。,"Después de cambiar de dispositivo, abre la página de compras y pulsa el botón Restaurar en la parte inferior izquierda. Tu historial de compras será verificado y tu estado de compra será restaurado.",หลังจากเปลี่ยนอุปกรณ์ ให้เปิดหน้าการซื้อและกดปุ่ม กู้คืน ที่มุมซ้ายล่าง ประวัติการซื้อของคุณจะถูกตรวจสอบและสถานะการซื้อจะถูกกู้คืน,"Após trocar de dispositivo, abra a página de compras e pressione o botão Restaurar no canto inferior esquerdo. Seu histórico de compras será verificado e seu status de compra será restaurado.",Nach dem Gerätewechsel öffnen Sie die Kaufseite und drücken die Schaltfläche „Wiederherstellen“ unten links. Ihr Kaufverlauf wird überprüft und Ihr Kaufstatus wird wiederhergestellt.,"Après avoir changé d'appareil, ouvrez la page d'achat et appuyez sur le bouton Restaurer en bas à gauche. Votre historique d'achat sera vérifié et votre statut d'achat sera restauré."
注意: 課金データは、iPhoneではApp Store、AndroidではGoogle Playの決済システムによって管理されています。そのため、AndroidとiOSの間で機種変更すると課金データを引き継ぐことはできません。,"Note: Purchase data is managed by the App Store for iPhone and by Google Play for Android. Therefore, purchase data cannot be transferred when switching between Android and iOS.",注意: 課金データは、iPhoneではApp Store、AndroidではGoogle Playの決済システムによって管理されています。そのため、AndroidとiOSの間で機種変更すると課金データを引き継ぐことはできません。,注意:iPhone上的购买数据由App Store的支付系统管理、Android上的购买数据由Google Play的支付系统管理。因此，Android和iOS之间更换设备后，购买数据无法转移。,"주의: 결제 데이터는 iPhone에서는 App Store, Android에서는 Google Play의 결제 시스템에서 관리됩니다. 따라서 Android와 iOS 간의 기기 변경 시 결제 데이터를 이전할 수 없습니다。",注意:iPhone上的購買資料由App Store的支付系統管理、Android上的購買資料由Google Play的支付系統管理。因此，Android和iOS之間更換設備後，購買資料無法轉移。,"Nota: Los datos de compra son gestionados por la App Store para iPhone y por Google Play para Android. Por lo tanto, no es posible transferir los datos de compra al cambiar entre Android e iOS.",หมายเหตุ: ข้อมูลการซื้อถูกจัดการโดย App Store สำหรับ iPhone และ Google Play สำหรับ Android ดังนั้น ไม่สามารถโอนข้อมูลการซื้อเมื่อสลับระหว่าง Android และ iOS ได้,"Nota: Os dados de compra são gerenciados pela App Store para iPhone e pelo Google Play para Android. Portanto, não é possível transferir os dados de compra ao mudar entre Android e iOS.",Hinweis: Kaufdaten werden auf dem iPhone vom App Store und auf Android von Google Play verwaltet. Daher können Kaufdaten beim Wechsel zwischen Android und iOS nicht übertragen werden.,"Remarque : Les données d'achat sont gérées par l'App Store pour iPhone et par Google Play pour Android. Par conséquent, les données d'achat ne peuvent pas être transférées lors du passage entre Android et iOS."
木の棒,Wooden Stick,木の棒,木棒,나무 막대기,木棒,Palo de madera,ไม้เท้าไม้,Bastão de Madeira,Holzstock,Bâton en bois
こん棒,Club,こん棒,棍棒,곤봉,棍棒,Garrote,กระบอง,Clava,Keule,Gourdin
ショートソード,Short Sword,ショートソード,短剑,숏소드,短劍,Espada corta,ดาบสั้น,Espada Curta,Kurzschwert,Épée courte
ロングソード,Long Sword,ロングソード,长剑,롱소드,長劍,Espada larga,ดาบยาว,Espada Longa,Langschwert,Épée longue
ワスプナイフ,Wasp Knife,ワスプナイフ,黄蜂匕首,워스프 나이프,黃蜂匕首,Cuchillo avispa,มีดตัวต่อ,Faca Vespa,Wespenmesser,Couteau Guêpe
スタンナックル,Stun Knuckle,スタンナックル,眩晕拳套,스턴 너클,眩暈拳套,Nudillo paralizante,สนับมือช็อต,Soquete de Atordoamento,Betäubungshandschuh,Poing Électrique
バトルサイス,Battle Scythe,バトルサイス,战斗镰刀,배틀 사이드,戰鬥鐮刀,Guadaña de batalla,เคียวต่อสู้,Foice de Batalha,Kampfsense,Faux de bataille
鉄塊,Iron Lumps,鉄塊,铁块,철괴,鐵塊,Bloques de hierro,เหล็กก้อน,Blocos de Ferro,Eisenklumpen,Morceaux de fer
装飾刀,Decorative Swords,装飾刀,装饰刀,장식도,裝飾刀,Espadas decorativas,ดาบตกแต่ง,Espadas Decorativas,Zierschwerter,Épées décoratives
サラマンダー,Salamander,サラマンダー,火蜥蜴,샐러맨더,火蠑螈,Salamandra,ซาลามานเดอร์,Salamandra,Salamander,Salamandre
タツマキ,Tornado,タツマキ,龙卷风,타츠마키,龍捲風,Tornado,ทอร์นาโด,Tornado,Tornado,Tornade
ピンポイント,Pinpoint,ピンポイント,针尖,핀포인트,針尖,Preciso,พินพอยต์,Precisão,Zielgenau,Précision
フェアリーソード,Fairy Sword,フェアリーソード,精灵剑,페어리 소드,精靈劍,Espada de hada,ดาบนางฟ้า,Espada de Fada,Feenschwert,Épée des fées
オオタツマキ,Giant Tornado,オオタツマキ,大龙卷风,오오타츠마키,大龍捲風,Gran Tornado,พายุทอร์นาโดขนาดใหญ่,Grande Tornado,Riesiger Tornado,Grande tornade
エメラルドソード,Emerald Sword,エメラルドソード,翡翠剑,에메랄드 소드,翡翠劍,Espada esmeralda,ดาบมรกต,Espada de Esmeralda,Smaragdschwert,Épée d'émeraude
ファントムサイス,Phantom Scythe,ファントムサイス,幻影镰刀,팬텀 사이드,幻影鐮刀,Guadaña fantasma,เคียวปีศาจ,Foice Fantasma,Phantomsense,Faux fantôme
幻影剣,Phantom Sword,幻影剣,幻影剑,환영검,幻影劍,Espada fantasma,ดาบภาพลวงตา,Espada Fantasma,Phantomschwert,Épée fantôme
ウンディーネ,Undine,ウンディーネ,温蒂妮,운디네,溫蒂妮,Undina,อันดิน,Ondina,Undine,Ondine
シルフ,Sylph,シルフ,希尔芙,실프,希爾芙,Silfo,ซิลฟ์,Silfo,Sylph,Sylphe
ノーム,Gnome,ノーム,诺姆,노움,諾姆,Gnomo,โนม,Gnomo,Gnom,Gnome
エレメンタリー,Elemental,エレメンタリー,元素,엘리멘트리,元素,Elemental,เอเลเมนทัล,Elemental,Elementargeist,Élémentaire
大鉄塊,Great Iron Mass,大鉄塊,大铁块,대철괴,大鐵塊,Gran masa de hierro,ก้อนเหล็กขนาดใหญ่,Grande Massa de Ferro,Große Eisenmasse,Grande masse de fer
極大鉄塊,Maximum Iron Mass,極大鉄塊,极大铁块,극대철괴,極大鐵塊,Masa máxima de hierro,ก้อนเหล็กขนาดมหึมา,Massa Máxima de Ferro,Maximale Eisenmasse,Masse de fer maximale
